date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity
2019-01-01,2019,1,1,chokepoint6,Strait of Hormuz,8,11,2,3,42,24,66,191610,326461,10255,2898,2495676,531224,3026901
2019-01-02,2019,1,2,chokepoint6,Strait of Hormuz,13,10,0,2,45,25,70,547743,487020,0,2013,1680733,1036778,2717512
2019-01-03,2019,1,3,chokepoint6,Strait of Hormuz,11,10,4,0,54,25,79,428426,360563,12144,0,2922246,801134,3723380
2019-01-04,2019,1,4,chokepoint6,Strait of Hormuz,12,14,2,1,42,29,71,573967,438669,22708,8512,1559196,1043859,2603055
2019-01-05,2019,1,5,chokepoint6,Strait of Hormuz,15,13,3,1,41,32,73,557629,659561,2521,0,2151691,1219712,3371403
2019-01-06,2019,1,6,chokepoint6,Strait of Hormuz,7,15,1,2,40,25,65,129019,490939,1799,7826,2487646,629584,3117231
2019-01-07,2019,1,7,chokepoint6,Strait of Hormuz,10,8,4,1,60,23,83,343721,226869,14350,2281,2479232,587223,3066456
2019-01-08,2019,1,8,chokepoint6,Strait of Hormuz,8,10,8,1,42,27,69,363172,382677,58634,0,1089847,804484,1894332
2019-01-09,2019,1,9,chokepoint6,Strait of Hormuz,7,6,4,1,26,18,44,271559,281960,9307,0,1885463,562828,2448291
2019-01-10,2019,1,10,chokepoint6,Strait of Hormuz,10,8,6,2,43,26,69,286487,189300,25189,12097,807159,513075,1320234
2019-01-11,2019,1,11,chokepoint6,Strait of Hormuz,8,9,4,1,49,22,71,315331,220227,4757,6926,1015141,547242,1562384
2019-01-12,2019,1,12,chokepoint6,Strait of Hormuz,8,10,6,0,42,24,66,235034,214084,31290,0,795232,480409,1275641
2019-01-13,2019,1,13,chokepoint6,Strait of Hormuz,7,12,2,1,28,22,50,374576,415932,5407,0,1585647,795916,2381564
2019-01-14,2019,1,14,chokepoint6,Strait of Hormuz,8,6,4,5,43,23,66,460797,122220,17756,4518,3009894,605293,3615187
2019-01-15,2019,1,15,chokepoint6,Strait of Hormuz,12,10,4,4,32,30,62,552642,113578,27156,13915,1447540,707292,2154833
2019-01-16,2019,1,16,chokepoint6,Strait of Hormuz,10,19,6,1,37,36,73,477913,583847,19872,0,2347453,1081633,3429086
2019-01-17,2019,1,17,chokepoint6,Strait of Hormuz,11,13,4,0,37,28,65,353541,517151,10013,0,2146416,880706,3027122
2019-01-18,2019,1,18,chokepoint6,Strait of Hormuz,11,7,1,0,38,19,57,393980,269350,4546,0,2116818,667877,2784696
2019-01-19,2019,1,19,chokepoint6,Strait of Hormuz,9,11,4,2,41,26,67,313474,149061,15137,0,1566967,477673,2044640
2019-01-20,2019,1,20,chokepoint6,Strait of Hormuz,11,14,5,2,50,32,82,379462,623089,35572,3476,1627617,1041600,2669218
2019-01-21,2019,1,21,chokepoint6,Strait of Hormuz,7,11,6,2,41,26,67,281689,370999,59561,8883,357934,721133,1079067
2019-01-22,2019,1,22,chokepoint6,Strait of Hormuz,8,8,2,3,43,21,64,267049,378121,9020,6352,2228951,660544,2889496
2019-01-23,2019,1,23,chokepoint6,Strait of Hormuz,5,6,0,0,38,11,49,265863,44838,0,0,2002254,310702,2312956
2019-01-24,2019,1,24,chokepoint6,Strait of Hormuz,6,9,1,0,35,16,51,123371,223192,17519,0,2050334,364083,2414418
2019-01-25,2019,1,25,chokepoint6,Strait of Hormuz,11,9,4,0,30,24,54,435737,253029,34051,0,1493370,722818,2216188
2019-01-26,2019,1,26,chokepoint6,Strait of Hormuz,10,12,3,0,47,25,72,409224,337253,9592,0,1890765,756071,2646837
2019-01-27,2019,1,27,chokepoint6,Strait of Hormuz,10,12,2,0,44,24,68,327753,617858,32752,0,2508779,978364,3487144
